time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-16 00:00:00+00:00,1,1,0,0
2023-02-17 00:00:00+00:00,1,1,0,0
2023-02-18 00:00:00+00:00,1,1,0,0
2023-02-19 00:00:00+00:00,1,1,1,1
2023-02-20 00:00:00+00:00,2,2,1,1
2023-02-21 00:00:00+00:00,1,1,0,0
2023-02-22 00:00:00+00:00,1,1,0,0
2023-02-23 00:00:00+00:00,1,1,0,0
2023-02-24 00:00:00+00:00,2,2,6,1
2023-02-25 00:00:00+00:00,1,1,0,0
2023-02-26 00:00:00+00:00,2,2,0,0
2023-02-27 00:00:00+00:00,4,4,2,1
2023-02-28 00:00:00+00:00,1,1,0,0
2023-03-01 00:00:00+00:00,2,2,1,1
2023-03-02 00:00:00+00:00,8,7,4,1
2023-03-03 00:00:00+00:00,2,2,11,5
2023-03-04 00:00:00+00:00,1,1,1,1
2023-03-05 00:00:00+00:00,1,1,2,1
2023-03-06 00:00:00+00:00,3,3,10,3
2023-03-07 00:00:00+00:00,1,1,7,3
2023-03-08 00:00:00+00:00,3,3,0,0
2023-03-09 00:00:00+00:00,4,4,1,1
2023-03-10 00:00:00+00:00,5,5,3,2
2023-03-11 00:00:00+00:00,1,1,0,0
2023-03-12 00:00:00+00:00,1,1,0,0
2023-03-13 00:00:00+00:00,2,2,0,0
2023-03-14 00:00:00+00:00,1,1,0,0
2023-03-15 00:00:00+00:00,2,2,11,3
2023-03-16 00:00:00+00:00,1,1,3,2
2023-03-17 00:00:00+00:00,4,3,8,2
2023-03-18 00:00:00+00:00,1,1,0,0
2023-03-19 00:00:00+00:00,1,1,0,0
2023-03-20 00:00:00+00:00,2,2,0,0
2023-03-21 00:00:00+00:00,1,1,3,1
2023-03-22 00:00:00+00:00,1,1,3,2
2023-03-23 00:00:00+00:00,5,5,30,4
2023-03-24 00:00:00+00:00,1,1,0,0
2023-03-25 00:00:00+00:00,4,3,0,0
2023-03-26 00:00:00+00:00,2,2,7,1
2023-03-27 00:00:00+00:00,2,2,0,0
2023-03-28 00:00:00+00:00,1,1,27,5
2023-03-29 00:00:00+00:00,1,1,29,6
2023-03-30 00:00:00+00:00,1,1,0,0
2023-03-31 00:00:00+00:00,2,2,2,1
2023-04-01 00:00:00+00:00,1,1,0,0
2023-04-02 00:00:00+00:00,1,1,0,0
2023-04-03 00:00:00+00:00,1,1,2,2
2023-04-04 00:00:00+00:00,1,1,8,1
2023-04-05 00:00:00+00:00,3,2,7,2
2023-04-06 00:00:00+00:00,1,1,0,0
2023-04-07 00:00:00+00:00,1,1,0,0
2023-04-08 00:00:00+00:00,1,1,6,1
2023-04-09 00:00:00+00:00,1,1,0,0
2023-04-10 00:00:00+00:00,1,1,15,5
2023-04-11 00:00:00+00:00,2,2,0,0
2023-04-12 00:00:00+00:00,1,1,4,2
2023-04-13 00:00:00+00:00,1,1,8,3
2023-04-14 00:00:00+00:00,3,2,12,2
2023-04-15 00:00:00+00:00,1,1,0,0
2023-04-16 00:00:00+00:00,1,1,4,2
2023-04-17 00:00:00+00:00,3,3,3,1
2023-04-18 00:00:00+00:00,1,1,3,1
2023-04-19 00:00:00+00:00,3,2,2,2
2023-04-20 00:00:00+00:00,3,2,5,3
2023-04-21 00:00:00+00:00,3,2,10,2
2023-04-22 00:00:00+00:00,3,2,2,1
2023-04-23 00:00:00+00:00,3,2,7,3
2023-04-24 00:00:00+00:00,4,3,4,4
2023-04-25 00:00:00+00:00,4,4,18,5
2023-04-26 00:00:00+00:00,8,7,10,3
2023-04-27 00:00:00+00:00,4,3,3,3
2023-04-28 00:00:00+00:00,5,4,14,5
2023-04-29 00:00:00+00:00,3,2,0,0
2023-04-30 00:00:00+00:00,3,2,0,0
2023-05-01 00:00:00+00:00,4,3,0,0
2023-05-02 00:00:00+00:00,5,4,11,1
2023-05-03 00:00:00+00:00,3,2,5,2
2023-05-04 00:00:00+00:00,3,2,3,2
2023-05-05 00:00:00+00:00,3,2,1,1
2023-05-06 00:00:00+00:00,3,2,0,0
2023-05-07 00:00:00+00:00,3,2,1,1
2023-05-08 00:00:00+00:00,2,2,0,0
2023-05-09 00:00:00+00:00,3,2,0,0
2023-05-10 00:00:00+00:00,3,2,1,1
2023-05-11 00:00:00+00:00,4,3,3,1
2023-05-12 00:00:00+00:00,3,2,4,1
2023-05-13 00:00:00+00:00,3,2,0,0
2023-05-14 00:00:00+00:00,3,2,0,0
2023-05-15 00:00:00+00:00,4,3,1,1
2023-05-16 00:00:00+00:00,3,2,2,2
2023-05-17 00:00:00+00:00,3,2,1,1
2023-05-18 00:00:00+00:00,3,2,0,0
2023-05-19 00:00:00+00:00,3,2,0,0
2023-05-20 00:00:00+00:00,4,3,1,1
2023-05-21 00:00:00+00:00,5,3,0,0
2023-05-22 00:00:00+00:00,2,2,19,1
2023-05-23 00:00:00+00:00,1,1,0,0
2023-05-24 00:00:00+00:00,3,2,13,2
2023-05-25 00:00:00+00:00,3,2,1,1
2023-05-26 00:00:00+00:00,4,3,1,1
2023-05-27 00:00:00+00:00,3,2,0,0
2023-05-28 00:00:00+00:00,3,2,0,0
2023-05-29 00:00:00+00:00,5,4,0,0
2023-05-30 00:00:00+00:00,3,2,5,4
2023-05-31 00:00:00+00:00,3,2,1,1
2023-06-01 00:00:00+00:00,4,3,9,5
2023-06-02 00:00:00+00:00,3,2,14,4
2023-06-03 00:00:00+00:00,3,2,3,1
2023-06-04 00:00:00+00:00,3,2,15,2
2023-06-05 00:00:00+00:00,4,3,5,4
2023-06-06 00:00:00+00:00,3,2,6,3
2023-06-07 00:00:00+00:00,1,1,2,2
2023-06-08 00:00:00+00:00,3,2,8,3
2023-06-09 00:00:00+00:00,2,2,3,2
2024-02-19 00:00:00+00:00,0,0,5,5
2024-02-20 00:00:00+00:00,1,1,7,4
2024-02-21 00:00:00+00:00,2,1,6,5
2024-02-22 00:00:00+00:00,2,2,3,2
2024-02-23 00:00:00+00:00,0,0,2,2
2024-02-24 00:00:00+00:00,0,0,3,1
2024-02-25 00:00:00+00:00,0,0,19,1
2024-02-26 00:00:00+00:00,0,0,52,6
2024-02-27 00:00:00+00:00,32,15,51,9
2024-02-28 00:00:00+00:00,1,1,22,6
2024-02-29 00:00:00+00:00,19,13,32,6
2024-03-01 00:00:00+00:00,8,4,160,14
2024-03-02 00:00:00+00:00,36,19,194,2
2024-03-03 00:00:00+00:00,3,2,27,6
2024-03-04 00:00:00+00:00,3,3,11,6
2024-03-05 00:00:00+00:00,5,4,2,2
2024-03-06 00:00:00+00:00,3,2,15,2
2024-03-07 00:00:00+00:00,4,3,87,8
2024-03-08 00:00:00+00:00,2,2,27,6
2024-03-09 00:00:00+00:00,3,3,0,0
2024-03-10 00:00:00+00:00,1,1,1,1
2024-03-11 00:00:00+00:00,4,4,34,3
2024-03-12 00:00:00+00:00,1,1,6,4
2024-03-13 00:00:00+00:00,1,1,11,3
2024-03-14 00:00:00+00:00,8,2,7,4
2024-03-15 00:00:00+00:00,2,2,85,8
